Wall time,Step,Value
1611248396.249784,3074,-1310.30908203125
1611248514.7166748,4324,-1069.8785400390625
1611248591.1421468,5142,-901.2796020507812
1611248604.907001,5290,-700.5825805664062
1611248620.7136614,5452,-581.0771484375
1611248645.872288,5735,-511.1918029785156
1611248659.2798107,5889,-450.84503173828125
1611248673.445084,6031,-403.0761413574219
1611248772.6773787,7093,-435.0113830566406
1611248870.7872243,8129,-446.0549011230469
1611248966.1259108,9210,-450.32305908203125
1611249165.1103878,11314,-510.8806457519531
1611249349.6322706,13352,-563.4320678710938
1611249446.9117436,14412,-573.3193359375
1611249548.8956501,15568,-577.61279296875
1611249717.4389386,17412,-580.2138061523438
1611249888.090264,19358,-581.6531982421875
1611250135.273194,22046,-630.433349609375
1611250244.6370358,23202,-634.7955932617188
1611250294.8109734,23728,-608.2692260742188
1611250667.5274112,27728,-628.0081176757812
1611250782.985099,29007,-621.8311767578125
1611250918.9546828,30439,-623.0880737304688
1611251047.5811265,31817,-625.4578247070312
1611251261.429547,34181,-621.2987670898438
1611251388.8104293,35545,-597.8228149414062
1611251603.7005863,37785,-587.315673828125
1611251846.2931013,40338,-581.3351440429688
1611252148.4474516,43426,-622.3868408203125
1611252279.0565732,44852,-644.655029296875
1611252498.9502428,47227,-670.7487182617188
1611252711.141913,49673,-710.0667114257812
1611252845.156819,51049,-720.201171875
1611252969.0912342,52301,-700.6318359375
1611253178.4109166,54404,-720.2406616210938
1611253290.8249395,55608,-707.1104736328125
1611253575.8245857,58444,-686.0900268554688
1611253611.0885227,58798,-636.397705078125
1611253733.1898704,60066,-627.77099609375
1611253774.6791553,60467,-602.4915161132812
1611253938.9880693,62083,-598.9823608398438
1611254025.4024112,62990,-577.4186401367188
1611254376.4792967,66232,-569.9562377929688
1611254536.435411,67823,-549.3934936523438
1611254725.4700234,69794,-555.5001831054688
1611255058.7660685,72055,-554.832763671875
1611255525.3007116,74537,-568.3680419921875
1611255854.3377264,76766,-574.8597412109375
1611255933.9490898,77269,-547.3397216796875
1611256326.7419815,79509,-530.4452514648438
1611256770.0407646,81831,-527.3197021484375
1611257145.5003889,84190,-527.64892578125
1611257443.1186018,86295,-552.9258422851562
1611257476.7817426,86538,-506.8595886230469
1611257644.9380212,87706,-503.70733642578125
1611257960.8588579,89911,-520.8621215820312
1611258187.3331835,91476,-499.67022705078125
1611258239.2999256,91829,-487.72308349609375
1611258682.3096206,95095,-520.4620971679688
1611258774.688313,95721,-479.6446838378906
1611258961.6619463,97067,-494.5057678222656
1611259020.1663103,97468,-471.61492919921875
1611259075.6722732,97900,-477.2309265136719
1611259123.918799,98247,-458.0808410644531
1611259192.4447923,98718,-457.9360046386719
1611259517.3879445,100925,-468.01025390625
1611259686.3109546,102061,-479.176025390625
1611259735.8652985,102393,-428.7950439453125
1611259792.3879554,102826,-420.9098815917969
1611260105.5604987,104946,-459.6428527832031
1611260131.8177776,105129,-420.853271484375
1611260187.6538837,105524,-389.3128662109375
1611260226.4332583,105806,-357.970458984375
1611260417.3574142,107144,-380.8102722167969
