Wall time,Step,Value
1608794094.3827107,74,1.7660959959030151
1608794095.3865206,192,-1.0654845237731934
1608794097.0154638,341,-3.2286550998687744
1608794098.560762,489,-4.173704624176025
1608794100.1103163,635,-4.7199273109436035
1608794101.6448903,785,-5.154831409454346
1608794103.0341485,934,-5.446148872375488
1608794147.2306848,1017,-5.633724689483643
1608794185.9215534,1041,-6.001141548156738
1608794232.3055124,1071,-6.637157440185547
1608794370.174116,1160,-7.61190938949585
1608794977.4977713,1575,-9.677325248718262
1608795912.9902332,2159,-6.194350719451904
1608796879.4294589,2826,0.5939684510231018
1608797891.2836962,3477,3.4869019985198975
1608798859.8067248,4058,2.423987627029419
1608799615.1628697,4496,-0.7144450545310974
1608800490.6153815,5080,7.094789981842041
1608801376.9882572,5602,19.273088455200195
1608802606.8977177,6684,31.287612915039062
1608804639.7571566,7700,40.3801383972168
1608805845.3797657,8431,48.47721481323242
1608806770.2440224,9038,57.63220977783203
1608807923.044301,9795,68.24009704589844
1608809123.10825,10526,75.17237091064453
1608810380.7971134,11329,88.73008728027344
1608811619.534708,12170,99.76117706298828
1608812921.5110857,12973,113.3360824584961
1608814271.4146519,13794,127.41108703613281
1608815554.507347,14626,143.552734375
1608817392.7581637,15883,161.5458984375
1608819177.0746553,16893,168.3883819580078
1608821324.659465,18309,179.9535675048828
1608823408.5721734,19645,189.73040771484375
1608824983.0514474,20559,197.0502471923828
1608826419.7682598,21460,201.60047912597656
1608828190.769178,22558,212.33688354492188
1608830477.2084475,23999,225.3022918701172
1608831917.2550085,24943,234.43032836914062
1608834778.328227,27062,257.50201416015625
1608839424.751676,29869,279.5367126464844
1608840978.1564348,30703,286.7259521484375
1608842575.455813,31659,288.05108642578125
1608845008.3430643,33229,289.9379577636719
1608847035.025953,34490,292.2130126953125
1608848383.4676404,35285,291.3470153808594
1608849714.7636473,36135,294.30963134765625
1608850700.3249362,36786,292.0394592285156
1608852090.546683,37730,285.9730529785156
1608853220.0198936,38362,283.2398376464844
1608854970.319691,39501,283.9129333496094
1608856679.2680147,40608,287.5577392578125
1608858848.146313,42017,287.92572021484375
1608862027.6166632,43954,293.095458984375
1608865683.1571913,46374,303.4261169433594
1608868953.7045326,48643,312.40606689453125
1608872904.2509522,50942,333.5931091308594
1608877399.5018723,54120,356.9497375488281
1608881144.6389644,56251,371.552490234375
1608883476.4809208,57812,383.755615234375
1608886648.6792865,59792,401.5709533691406
1608890386.3697155,62418,421.6844482421875
1608893472.3669722,64401,426.7682800292969
1608898772.679972,67691,448.7410583496094
1608902260.5327399,70042,447.5704650878906
1608907073.4788508,73124,461.9068603515625
1608910701.3125005,75154,482.4964904785156
1608913765.5567012,77294,501.9088134765625
1608917560.5474603,79789,519.0123291015625
1608922368.0231209,82891,541.1925659179688
1608926145.1432512,85384,563.5017700195312
1608929644.2448356,87331,572.8524169921875
1608933052.8740711,89604,587.7906494140625
1608937017.2325478,92088,599.1556396484375
1608941374.677285,95195,622.9962158203125
1608944750.5941856,97056,633.6835327148438
1608949184.6359558,100001,652.8097534179688
1608953622.0936518,102927,671.8099365234375
1608956962.6881855,105218,682.1165161132812
1608959280.5069265,106388,671.997802734375
1608960750.7130075,107363,660.28515625
1608963153.564524,108961,653.7396850585938
1608968089.8971908,112381,656.8800659179688
1608971343.1248095,114142,655.7674560546875
1608974313.9148252,116110,663.7904052734375
1608976123.0360498,117284,658.8197021484375
1608979100.1234372,119472,655.5983276367188
1608981284.0211775,120566,653.1873168945312
1608985560.5939674,123285,650.8642578125
1608988749.388023,125679,655.4684448242188
1608991731.297614,127334,643.6488647460938
1608993834.2008262,128705,634.8718872070312
1608995211.018817,129479,620.6153564453125
1608996956.497232,130771,610.4425659179688
1608999593.283225,132342,595.9810791015625
1609001100.906771,133229,582.875732421875
1609002541.5106933,134251,576.814208984375
1609003882.9221418,135084,567.1229858398438
1609005398.358003,136025,564.739990234375
1609006982.3398857,137109,550.467041015625
1609008506.5349915,138036,539.6470336914062
1609011534.8009963,140297,527.19140625
1609013823.965644,141522,514.7977905273438
1609015815.7368755,142735,509.76190185546875
1609017898.4470246,144101,517.8548583984375
1609021872.1251943,146877,543.9277954101562
1609024075.4887304,148016,538.4996337890625
1609027137.9363272,150120,527.4476318359375
1609032724.887714,153909,542.9967041015625
1609036884.8669531,156279,543.60595703125
1609039380.6441805,157989,549.896728515625
1609042373.2363868,159778,545.203369140625
1609046120.67553,162427,565.1066284179688
1609049162.5193365,164127,556.0479125976562
1609051766.0725112,166007,554.8250732421875
1609056222.835244,168979,571.7352294921875
1609058982.1901672,170757,577.0615844726562
1609061069.4200952,171762,586.3319702148438
1609062848.8552988,172863,590.0733642578125
1609064374.4108615,173876,584.2218627929688
1609066318.693676,175130,586.692626953125
1609068488.215178,176580,605.4122314453125
1609071070.3128278,178199,634.3199462890625
1609072836.702323,179331,642.696044921875
1609074372.5763774,180354,642.953125
1609076305.2785802,181565,651.60302734375
1609078030.1171381,182688,653.3519287109375
1609080781.9732373,184433,667.5750122070312
1609082505.3685834,185518,665.8267211914062
1609084498.6530128,187015,673.6935424804688
1609086486.313294,188086,655.2860717773438
1609088956.043332,189818,678.8430786132812
1609091070.8544307,191047,674.793212890625
1609093070.715624,192299,662.1458129882812
1609094546.104487,193235,655.5137939453125
1609096068.2593145,194224,653.089599609375
1609097188.4521444,194949,647.4652099609375
1609098169.533599,195553,624.9512939453125
1609098937.5015204,196055,610.49755859375
1609099915.118182,196699,595.939208984375
1609100975.1719785,197456,568.4932861328125
1609102329.6194983,198300,563.3257446289062
1609106176.5866263,200948,601.221435546875
1609108894.1574466,202830,621.27880859375
1609111806.4509661,204381,646.9259033203125
1609113243.9522483,205375,648.052734375
1609115177.0959442,206610,650.5325927734375
1609118001.4328265,208400,656.34228515625
1609120462.450279,209964,668.0823364257812
1609123612.986127,212251,712.406005859375
1609125873.7741218,213497,720.9852905273438
1609127670.8015368,214645,726.4580688476562
1609130572.147343,216596,743.6973266601562
1609133659.9454768,218527,780.8174438476562
1609138360.2853463,221562,824.1506958007812
1609141521.380721,223563,851.3925170898438
1609144877.2237015,225925,872.9295043945312
1609148837.032441,228528,917.0073852539062
1609151800.877864,230073,933.412353515625
1609153494.5401578,231081,935.7369384765625
1609158011.340723,233927,989.4655151367188
1609161497.2717323,236322,1047.7650146484375
1609166260.798991,239176,1111.9326171875
1609169953.039466,241353,1167.0013427734375
1609173489.4213755,243532,1219.634521484375
1609177854.5217576,246315,1283.214111328125
1609183466.0644748,249994,1374.6864013671875
1609187717.6288152,252239,1381.6610107421875
1609188409.544617,252655,1347.32080078125
1609190870.7891438,254226,1352.2005615234375
1609194033.8437994,256394,1399.22119140625
1609199321.302201,259613,1457.612060546875
1609203880.1530712,262692,1500.3968505859375
1609208180.4729075,265533,1548.956787109375
1609212752.3478022,268261,1568.77392578125
1609216354.054434,270565,1604.3673095703125
1609221681.9333143,274290,1667.840576171875
1609226774.115738,277565,1696.3707275390625
1609231688.0519664,280712,1705.31005859375
1609236968.3235812,283866,1724.1861572265625
1609241685.7524989,286903,1779.8209228515625
1609246571.6248844,289898,1802.6812744140625
1609251046.2207954,292607,1819.5694580078125
1609256111.4034638,295499,1868.0279541015625
1609260566.4836233,298520,1937.560791015625
1609263731.1257648,300287,1912.8609619140625
1609267344.9761183,302755,1911.3349609375
1609272057.9555216,305711,1926.597412109375
1609276529.581345,308518,1959.51953125
1609281660.2627664,311840,2007.234375
1609286368.8251755,315074,2039.7852783203125
1609292307.209521,318878,2052.598876953125
1609298521.4418879,322844,2123.716552734375
1609303611.8923361,325789,2218.468017578125
1609307390.5359755,328532,2264.953857421875
1609312635.9204912,331897,2313.35595703125
1609316645.7406492,334268,2301.877685546875
1609320621.7594447,336811,2300.21240234375
1609325256.7926643,339989,2335.112548828125
1609330879.3836768,343543,2387.440673828125
1609336112.6377287,346748,2433.21435546875
1609341115.2658384,349856,2455.957763671875
1609342661.178944,353344,2504.801513671875
1609342970.6059322,356742,2569.3232421875
1609343204.445736,359717,2584.947265625
1609343456.1297185,362789,2601.031494140625
1609343738.397279,366228,2652.09375
1609344046.2561393,369975,2720.1630859375
1609344333.555384,373477,2764.00927734375
1609344538.9775023,375979,2767.11474609375
1609344796.3711505,379126,2842.65478515625
1609345101.8682578,382843,2913.386962890625
1609345372.3071504,385934,2945.069580078125
1609345590.4823437,388780,2968.68017578125
1609345897.250238,392502,3003.774169921875
1609346227.5729942,396502,3061.71240234375
1609346548.038886,400318,3095.759765625
1609346859.7473843,404164,3129.510498046875
1609347156.8878899,407749,3174.216796875
1609347454.983924,411354,3230.647216796875
1609347717.7379444,414532,3245.6611328125
1609348048.565297,418532,3334.76220703125
1609348346.433814,422131,3400.2392578125
1609348602.5758793,425208,3408.068359375
1609348910.1724339,428926,3437.5263671875
1609349103.238343,431168,3418.388671875
1609349286.9269576,433199,3388.843994140625
1609349568.013831,436868,3420.252197265625
1609349830.192662,439765,3402.731689453125
1609350087.9613192,443111,3441.909912109375
1609350321.880598,445923,3436.973876953125
1609350584.2601888,448898,3434.640625
1609350902.402915,452898,3466.11328125
1609351236.4693694,456895,3513.83740234375
1609351510.1716611,460171,3560.591552734375
1609351822.0896456,463731,3594.08740234375
1609352135.254139,467643,3631.223388671875
1609352470.4648387,471643,3678.953857421875
1609352777.4717734,475310,3722.275390625
1609353113.3894145,479310,3753.723876953125
1609353356.3673964,482140,3707.896240234375
1609353625.5769444,485242,3689.328369140625
1609353917.5679314,488671,3669.607666015625
1609354101.2675977,490857,3609.885986328125
1609354277.644659,492932,3545.50146484375
1609354434.471681,494791,3485.894287109375
1609354714.2885582,498382,3476.60693359375
1609354981.4367564,501331,3451.44189453125
1609355172.2962196,503564,3418.753662109375
1609355405.3652933,506478,3381.7109375
1609355633.9414766,509307,3406.30859375
1609355895.4167833,512366,3453.283935546875
1609356181.9154189,515675,3440.52490234375
1609356450.2769213,518857,3469.584716796875
1609356670.520743,521609,3439.809814453125
1609356876.805174,523825,3415.34716796875
1609357125.2332911,527004,3425.084228515625
1609357380.0096722,529914,3375.441162109375
1609357579.2759995,532386,3300.80908203125
1609357876.9869545,535924,3322.637451171875
1609358187.6631463,539469,3331.74267578125
1609358509.6394696,543405,3338.2490234375
1609358815.632001,547022,3330.975830078125
1609359136.1907618,550674,3328.75830078125
1609359458.9960713,554626,3325.681884765625
1609359765.5221586,558254,3368.04833984375
1609360076.4420838,561686,3380.266357421875
1609360383.1245484,565510,3403.293212890625
1609360721.3272128,569510,3497.5126953125
1609361059.7579486,573510,3600.541259765625
1609361397.849394,577510,3710.28125
