Wall time,Step,Value
1611846983.939014,1713,14.847142219543457
1611847037.8825102,1976,13.79762077331543
1611847253.5183685,3080,10.419644355773926
1611847471.5587428,4274,10.653569221496582
1611847608.1684732,5051,10.710705757141113
1611847925.103134,6753,9.31228256225586
1611848037.204975,7342,7.7056732177734375
1611848135.4808025,7861,6.992590427398682
1611848231.0256634,8346,7.748114585876465
1611848345.2007203,8938,10.41649055480957
1611848416.028036,9312,9.796111106872559
1611848866.1637719,11666,6.211774826049805
1611849072.2811508,12768,7.491273403167725
1611849328.4919946,14105,11.007027626037598
1611849827.2945867,16760,8.716606140136719
1611850358.9881327,19557,8.658212661743164
1611850631.6560404,20968,10.502771377563477
1611851064.9504452,23241,8.703726768493652
1611851690.0053065,26427,9.718470573425293
1611852291.0611844,29640,11.027982711791992
1611852948.8615794,33099,7.750762462615967
1611853504.677236,36079,8.205886840820312
1611854142.4078763,39555,7.888339519500732
1611854664.224921,42319,7.118449687957764
1611855329.9167717,45757,8.98033618927002
1611855862.5232122,48480,7.653435707092285
1611856508.464416,51900,11.055933952331543
1611857048.0411134,54764,9.314163208007812
1611857590.0952451,57561,10.767444610595703
1611858249.5718431,60942,8.989513397216797
1611858909.9594786,64344,10.58183765411377
1611859604.4885356,67806,8.493776321411133
1611860339.7560081,71283,10.931756019592285
1611861075.0923955,74717,9.855396270751953
1611861820.78638,78127,12.701512336730957
1611862559.9426033,81595,22.26014518737793
1611863182.648576,84402,9.823874473571777
1611863813.9290712,87374,12.215323448181152
1611864583.604663,90956,18.684967041015625
1611865165.0555584,93704,21.6844482421875
1611865933.5248766,97295,13.833847999572754
1611866527.7935815,100061,9.818565368652344
1611867128.4021368,102882,13.069826126098633
1611867887.254311,106344,11.246204376220703
1611868648.8062425,109802,10.8391695022583
1611869227.1309204,112460,11.726725578308105
1611869967.2268121,115878,9.58814811706543
1611870546.3264153,118537,15.03813648223877
1611870611.0916762,118824,12.407559394836426
1611871387.6889572,122385,10.550433158874512
1611871950.748018,125029,10.69783878326416
1611872686.64383,128423,12.520915985107422
1611873376.5048933,131567,11.839786529541016
1611874132.4060955,135095,15.390732765197754
1611874858.4768562,138589,13.111174583435059
1611875623.506333,142125,13.609277725219727
1611876388.714626,145590,15.39834976196289
1611877149.9348285,149027,12.274188995361328
1611877894.475884,152497,13.547476768493652
1611878550.9618583,155561,13.570026397705078
1611879296.1517918,158984,13.190401077270508
1611879967.8730032,161964,20.837722778320312
1611880705.9189982,165406,13.614297866821289
1611881474.4684768,168886,14.047353744506836
1611882294.3429685,172537,13.470805168151855
1611882898.8221033,175253,14.556751251220703
1611883664.6774602,178768,17.772058486938477
1611884373.2178197,181947,16.061933517456055
1611885154.924846,185462,14.637064933776855
1611885933.052044,188933,12.313323974609375
1611886589.0093977,192021,15.263596534729004
1611887373.5578759,195525,15.365348815917969
1611888175.330463,199085,15.24880599975586
1611888997.5577397,202818,15.689638137817383
1611889787.5333135,206372,18.718441009521484
1611890555.3866458,209842,12.407029151916504
1611891365.6655772,213385,15.376025199890137
1611892130.735863,216834,16.259172439575195
1611892840.0582151,220029,16.699129104614258
1611893621.4720676,223546,16.71269416809082
1611894160.9360094,225968,13.291504859924316
1611894614.669917,227945,17.830751419067383
1611895387.9916756,231460,14.099308967590332
1611896165.2317195,234983,15.16291332244873
1611896953.2870216,238525,13.597381591796875
1611897647.2661777,241582,14.422624588012695
1611898429.034347,245145,17.74299430847168
1611899213.0389426,248686,15.906797409057617
1611899710.0146735,250854,14.625578880310059
1611900502.1039557,254441,19.548215866088867
1611901216.4117815,257686,14.046260833740234
1611902003.3461568,261306,14.947818756103516
1611902674.7756178,264354,13.644125938415527
1611903433.1815617,267879,14.642229080200195
1611904024.2981555,270486,11.677582740783691
1611904797.7220364,273995,18.275854110717773
1611905605.293586,277568,16.507749557495117
1611906374.731432,281078,13.567340850830078
1611907150.3658378,284576,17.192302703857422
1611907751.902026,287234,13.44141674041748
1611908622.197727,290778,13.353026390075684
