Wall time,Step,Value
1611689277.4640784,2212,2.0489065647125244
1611689314.3385239,2384,1.0343983173370361
1611689405.8273208,2796,1.658616304397583
1611689489.220809,3216,1.1705782413482666
1611689768.6239147,4446,1.6711636781692505
1611689976.3778298,5408,1.276496171951294
1611690064.061988,5832,0.8896161317825317
1611690127.3940768,6086,1.1534082889556885
1611690209.9131353,6383,0.9017491340637207
1611690391.1885266,7086,1.1798945665359497
1611690543.695514,7662,1.9423961639404297
1611690853.4154837,8908,2.2478859424591064
1611691192.5608244,10545,1.0961663722991943
1611691447.78162,11727,1.4725189208984375
1611691649.0757291,12531,1.1433618068695068
1611691969.8794818,13801,1.0156069993972778
1611692074.0084965,14212,1.2243781089782715
1611692143.0341303,14501,1.0497374534606934
1611692222.5877059,14857,0.8069690465927124
1611692350.2593284,15430,1.0630837678909302
1611692587.0267565,16493,1.0904899835586548
1611693180.849345,19126,1.0312288999557495
1611694019.6351526,22763,1.4979585409164429
1611694815.40689,26096,1.8237625360488892
1611695632.5906239,29641,1.4988892078399658
1611696276.689957,32376,1.5710333585739136
1611697070.5787072,35819,2.144357681274414
1611697885.9965796,39182,2.8745598793029785
1611698721.5235865,42691,12.5255765914917
1611699603.8505602,46203,1.940352201461792
1611700512.987659,49809,2.67514705657959
1611701202.7990289,52637,2.1424622535705566
1611701674.2839482,54554,2.931778907775879
1611702269.0950253,56953,7.178423881530762
1611702780.7757945,59118,77.37356567382812
1611703299.1095624,61191,17.423446655273438
1611703882.5995731,63622,1.785788655281067
1611704103.9702942,64468,137.60997009277344
1611704723.089311,66937,13.846848487854004
1611705365.4342444,69393,408.458740234375
1611706188.9950626,72525,417.7774963378906
1611706553.4842055,73845,14.885406494140625
1611707638.7314904,77845,88.42801666259766
1611708332.8183863,80456,1014.6263427734375
1611708494.1155705,81064,28241.6015625
1611708828.7839186,82313,5645.0244140625
1611709443.770626,84409,1395.681396484375
1611710288.4369965,87616,69935.171875
1611710737.6189125,89280,1727.1171875
1611711245.6211164,91146,25142.609375
1611711486.155615,92045,43352.0703125
1611712496.016916,95728,29258.181640625
1611713058.9127862,97803,18245.994140625
1611714131.077785,101803,160450.9375
1611715065.2055447,105179,565528.5
1611715974.1462028,108465,2841208.75
1611716606.4963,110857,982279.4375
1611717241.489119,113133,6441859.0
1611717895.4641006,115470,1404007.75
1611718033.819057,115978,687095.625
1611718192.034317,116533,8196703.0
1611718845.787114,118825,11381722.0
1611719084.9687383,119697,348032.5625
1611719232.7217655,120233,70261832.0
1611719478.0406392,121107,436804.5625
1611719836.868535,122402,3101557.5
1611720208.3538105,123705,41168768.0
1611720511.6316752,124808,17644424.0
1611721138.6492257,127018,22739276.0
1611721267.8417797,127475,72463624.0
1611721796.291755,129339,107118648.0
1611722148.2988713,130550,39833588.0
1611722216.3186145,130773,3586655.0
1611722254.145196,130915,36897488.0
1611722312.3075216,131113,7616874.0
1611722367.2843301,131306,1578681.25
1611722433.4450839,131534,10069060.0
1611722491.0916717,131733,26775156.0
1611722551.1313906,131953,24681576.0
1611722624.1629734,132183,72332112.0
1611722686.5368533,132414,5341148.5
1611722732.3843744,132573,25521484.0
1611722781.701867,132740,264026416.0
1611722886.9967816,133105,137520448.0
1611722959.2724118,133365,180098464.0
1611723012.147584,133547,90759528.0
1611723113.6738212,133893,128787776.0
1611723504.5277214,135286,3925294.5
1611723550.4837654,135448,83839136.0
1611723880.6869793,136628,181379520.0
1611723922.2268908,136774,68963056.0
1611723971.767004,136938,177563072.0
1611724014.4506218,137085,1326325632.0
1611724065.774237,137272,131900648.0
1611724108.3094285,137412,33764920.0
1611724147.654433,137547,83544288.0
1611724188.2434552,137686,6065061.0
1611724226.799329,137821,20838008.0
1611724264.4446135,137957,30566238.0
1611724301.0262153,138091,88459488.0
1611724539.773666,138937,130627344.0
1611724592.4963017,139110,143960256.0
1611724631.7647157,139254,108466096.0
1611724679.5590723,139422,2708347.5
1611724871.1044283,140127,75842896.0
1611724929.096625,140307,105167256.0
1611724973.3783495,140471,161327536.0
1611725018.5686014,140631,215505728.0
1611725064.1468606,140783,818599296.0
1611725110.9676685,140945,93780080.0
1611725151.5158906,141088,24316424.0
1611725189.1998901,141224,37451912.0
1611725231.3714378,141372,46142312.0
1611725281.1569033,141545,189610912.0
1611725342.4902906,141767,269518528.0
1611725413.1405513,142006,33014716.0
1611725457.5366652,142156,13481502.0
1611725499.5917332,142300,45750976.0
1611725542.390371,142449,181375680.0
1611725589.233866,142598,875894656.0
1611725630.9904048,142745,9270272.0
1611725675.8621354,142900,319894080.0
1611725727.2580147,143082,251975936.0
1611725775.2581792,143249,352696832.0
1611725823.1972706,143389,371238784.0
1611725868.7139156,143560,123151152.0
1611725913.0467575,143718,16148302.0
1611725951.016688,143858,7544769.0
1611725989.7683272,143997,44107288.0
1611726027.5048575,144138,1914579456.0
1611726076.6973238,144310,96285248.0
1611726136.305291,144505,17561930.0
1611726192.701724,144703,298389504.0
1611726245.374278,144881,21200572.0
1611726318.0473986,145139,204418368.0
1611726418.0770102,145484,308009792.0
1611726457.5115337,145622,219864288.0
1611726503.511258,145762,278600960.0
1611726542.283365,145897,916583232.0
1611726609.2874415,146151,170297296.0
1611726712.357369,146501,1002320064.0
1611726838.0145125,146911,57932244.0
1611727185.157777,148145,1364305408.0
1611727254.71656,148383,531379840.0
1611727699.4291449,149915,1751488512.0
1611727832.1298091,150377,517718720.0
1611727898.6841314,150590,1247174016.0
1611727936.4905906,150723,406525376.0
1611727977.2068896,150861,666790464.0
1611728017.4238124,150994,38519000.0
1611728070.1187186,151180,584870400.0
1611728128.3297791,151379,937016320.0
1611728179.8950436,151557,24608128.0
1611728236.174069,151753,1010026880.0
1611728278.9017062,151892,699450944.0
1611728320.4248867,152035,997399680.0
1611728362.1838963,152184,3335932928.0
1611728400.8755035,152316,600707712.0
1611728438.8715982,152451,305202752.0
1611728493.6364105,152652,1841190144.0
1611728595.4268076,152989,1357299456.0
1611728747.396419,153518,268032512.0
1611728862.5500712,153923,1754365056.0
1611728929.7257144,154153,180085984.0
