Wall time,Step,Value
1611688964.0131102,277,-107.05876922607422
1611688975.47804,491,-106.57476806640625
1611688987.6236465,709,-106.6992416381836
1611689000.7348926,924,-106.66636657714844
1611689198.8355691,1898,-111.35043334960938
1611689249.6107938,2141,-111.15538787841797
1611689514.8733659,3391,-107.88459777832031
1611689786.2353241,4682,-107.98464965820312
1611689864.3312523,5030,-108.82630157470703
1611690489.9589593,7503,-107.45563507080078
1611690994.2013302,9645,-106.96813201904297
1611691448.037589,11769,-105.0654296875
1611691777.035412,13135,-104.06888580322266
1611691901.965452,13641,-104.15665435791016
1611692253.4313705,15031,-104.36744689941406
1611692349.6504211,15459,-104.72721862792969
1611692462.9214761,15964,-105.22799682617188
1611692573.5879216,16469,-105.89250183105469
1611692676.932234,16893,-106.50122833251953
1611692979.6340961,18131,-107.60002899169922
1611693353.3394573,19725,-108.15460968017578
1611693920.491087,22166,-108.66717529296875
1611694554.2392695,24895,-108.78950500488281
1611694723.3530478,25666,-109.54928588867188
1611694851.0023205,26172,-109.4737777709961
1611694921.7914803,26485,-109.38275909423828
1611694984.4555707,26759,-109.23982238769531
1611695052.211827,27065,-109.04090881347656
1611695132.5856247,27425,-108.78430938720703
1611695300.458167,28205,-106.7220230102539
1611695568.758159,29362,-104.22075653076172
1611695994.3902066,31300,-99.36106872558594
1611696758.4170642,34494,-86.1937026977539
1611697234.1136007,36495,-77.98196411132812
1611697790.3408813,38787,-71.30512237548828
1611698736.8095748,42627,-55.547420501708984
1611699740.8968327,46538,-45.07146453857422
1611700312.513688,48841,-48.23836898803711
1611701074.733603,51887,-44.79250717163086
1611701552.5771468,53843,-43.238304138183594
1611702526.7678833,57788,-29.619104385375977
1611703489.6009963,61723,-15.375666618347168
1611704221.4384832,64610,-5.200953960418701
1611705041.1643379,67743,6.757785320281982
1611705908.8294144,70941,17.939403533935547
1611706935.868122,74657,28.75189208984375
1611707800.2672267,77886,39.167850494384766
1611708538.961755,80651,44.06193923950195
1611708923.2841113,82077,45.92936706542969
1611709660.1517227,84780,49.188724517822266
1611710208.0549395,86733,48.224998474121094
1611711314.81375,90733,49.17727279663086
1611712442.6510615,94733,50.14024353027344
1611713526.9846628,98733,50.758514404296875
1611714655.9663994,102733,52.81857681274414
1611715762.0034978,106733,53.46644973754883
1611716863.7593174,110733,50.69196701049805
1611717767.6764474,113948,40.808860778808594
1611718363.7919705,116105,35.31646728515625
1611719498.2202468,120105,29.250553131103516
1611720621.9046686,124105,14.395194053649902
1611721729.243748,128105,3.807281017303467
1611722844.6289356,132105,7.661856174468994
1611723861.8169136,135737,4.744639873504639
1611725011.370986,139737,4.841299057006836
1611725883.2765212,142810,-7.33486795425415
1611727047.5578647,146810,-19.752235412597656
1611728194.3612363,150810,-27.662353515625
1611729333.0240657,154810,-36.99444580078125
1611730461.2896686,158810,-46.22199630737305
1611731603.4359252,162810,-54.77663803100586
1611732210.18715,164881,-64.06827545166016
1611733101.1019776,167920,-67.949462890625
1611734310.3096664,171920,-68.26482391357422
1611735079.9318976,174413,-70.78703308105469
1611735478.8036127,175691,-70.7486343383789
1611735640.640861,176224,-72.19517517089844
1611736008.6955342,177446,-72.51531982421875
1611736078.3186321,177681,-73.31709289550781
1611736166.4375148,177972,-76.3034439086914
1611737336.4412925,181847,-78.1167984008789
1611737995.5988843,184064,-80.6799545288086
1611738938.9086168,187147,-83.38041687011719
1611739371.2370512,188554,-86.48921203613281
1611740062.275624,190851,-87.24034118652344
1611740483.3537,192267,-87.97431182861328
1611741417.1314232,195366,-87.62483215332031
1611741951.0256112,197145,-89.46060943603516
1611742828.2911732,200066,-90.84967041015625
1611744012.2775037,204066,-91.32080841064453
1611744884.1116722,207141,-91.38180541992188
1611745839.581298,210488,-92.18960571289062
1611747002.3446364,214488,-92.40220642089844
1611747741.2041101,217035,-95.0452880859375
