Wall time,Step,Value
1611688926.6082852,257,-108.76026153564453
1611688939.372118,470,-107.28099822998047
1611688951.2767928,684,-106.88803100585938
1611688961.5184336,898,-106.75096130371094
1611689182.717566,1980,-112.14175415039062
1611689239.8254678,2250,-112.0429916381836
1611689456.9390042,3260,-114.76216125488281
1611690217.7509778,6701,-112.75080871582031
1611690533.7023852,7823,-114.1795425415039
1611690630.7338114,8169,-114.97669982910156
1611690716.1174498,8536,-116.04967498779297
1611690762.2388172,8717,-116.66400146484375
1611690828.9519782,9001,-116.75424194335938
1611690920.5516603,9397,-116.6357192993164
1611691017.7217836,9908,-116.7951889038086
1611691078.2294393,10225,-116.74732208251953
1611691186.5495756,10764,-116.78022766113281
1611691258.3459597,11142,-116.60926055908203
1611691337.505467,11542,-116.69381713867188
1611691435.611105,11949,-116.81892395019531
1611691630.5105896,12741,-116.37947845458984
1611691894.4800513,13815,-115.24790954589844
1611692034.1861331,14363,-114.24000549316406
1611692208.3776922,15048,-113.17589569091797
1611692389.2034404,15839,-112.22906494140625
1611692600.0604355,16766,-111.3716049194336
1611692850.0149412,17828,-109.1586685180664
1611693057.2170856,18735,-108.00434112548828
1611693714.0096636,21596,-98.17875671386719
1611693939.9188378,22559,-95.6163330078125
1611694217.1387212,23747,-91.46751403808594
1611694732.9277155,25956,-81.9901123046875
1611694847.1480787,26454,-82.59391021728516
1611695003.8146012,27133,-82.20781707763672
1611695565.620616,29681,-74.59110260009766
1611696491.3520243,33541,-61.051815032958984
1611697101.5935671,36089,-55.99557113647461
1611697199.6306102,36505,-56.11207962036133
1611697516.4763975,37893,-55.41205978393555
1611697680.850588,38547,-54.82499694824219
1611697901.2142437,39483,-54.58525848388672
1611698014.8588562,39937,-54.513526916503906
1611698148.8335378,40469,-54.621334075927734
1611698280.6952438,41019,-54.66238021850586
1611698417.094393,41598,-54.587162017822266
1611698489.9037626,41907,-54.56918716430664
1611699056.8502483,44203,-56.548744201660156
1611699645.6385946,46587,-58.65314865112305
1611700203.6385822,48865,-61.60811996459961
1611700777.3177214,51191,-62.313270568847656
1611701558.2393222,54311,-63.44328308105469
1611702196.6695416,56930,-62.31354904174805
1611702399.8677375,57763,-62.60905456542969
1611702769.7553782,59339,-72.43017578125
1611703233.6015797,61235,-73.55133819580078
1611703853.0126102,63740,-75.0738754272461
1611704860.84388,67708,-83.00463104248047
1611705447.7805982,69905,-83.71046447753906
1611706015.178108,72116,-82.66320037841797
1611707068.979045,76116,-87.52266693115234
1611707888.7020154,79209,-98.24932861328125
1611708953.9397674,83209,-100.16937255859375
1611710047.8992,87209,-97.9920425415039
1611710799.1015131,89889,-98.42576599121094
1611711890.3371363,93889,-97.86781311035156
1611712656.703815,96623,-97.21307373046875
1611713621.0020556,100061,-97.66239166259766
1611714391.0682232,102858,-98.03863525390625
1611714740.9380846,104118,-98.62297058105469
1611715034.559228,105143,-99.44246673583984
1611715681.2827313,107490,-101.49368286132812
1611716105.3312457,109046,-101.73987579345703
1611716820.4968722,111588,-100.6646728515625
1611717404.0142443,113691,-98.6422348022461
1611717974.8393931,115705,-98.51243591308594
1611718069.4100103,116018,-98.62557983398438
1611718195.541923,116476,-102.41205596923828
1611718319.4006534,116896,-103.69933319091797
1611718457.327212,117346,-104.10052490234375
1611718618.904745,117926,-104.75033569335938
1611718876.3968048,118815,-107.63367462158203
1611719263.4854696,120174,-108.87403869628906
1611719853.9195473,122235,-106.77410125732422
1611719949.254428,122573,-107.85704803466797
1611720073.6445773,123008,-110.64325714111328
1611720201.941864,123451,-113.04428100585938
1611720739.8402448,125359,-115.59026336669922
1611721128.026669,126729,-116.9908218383789
1611721320.1378472,127404,-117.98727416992188
1611721632.8265653,128488,-119.35892486572266
1611721760.1798346,128938,-120.54962921142578
1611722123.7008932,130203,-119.72663879394531
1611722223.8636134,130557,-119.49811553955078
1611722355.5876565,131022,-119.3702621459961
1611722509.038364,131526,-119.3619155883789
1611722607.9447546,131875,-118.02861785888672
1611722970.2360842,133143,-116.83230590820312
1611723075.9012015,133500,-117.21774291992188
1611723172.448543,133843,-117.65156555175781
1611723278.6832168,134203,-118.65234375
1611723355.1669257,134490,-118.81787872314453
1611723449.7361965,134825,-119.06253051757812
1611723548.651665,135171,-119.44046783447266
1611723897.922993,136432,-119.3084487915039
1611724509.6282954,138558,-118.16915893554688
1611724622.3252616,138946,-118.515380859375
