Wall time,Step,Value
1609964940.5943213,3118,-972.21484375
1609965027.5642242,4252,-753.7122802734375
1609965112.1478992,5338,-726.7571411132812
1609965258.8107867,7227,-766.0606079101562
1609965478.034818,10097,-856.5169067382812
1609965729.7359898,13431,-921.2540283203125
1609965838.7343938,14832,-893.6658325195312
1609965966.824255,16534,-881.9495239257812
1609966201.1263263,19639,-970.4569091796875
1609966297.5439053,20909,-924.7166137695312
1609966364.8654966,21784,-872.1795654296875
1609966509.539029,23685,-874.1873168945312
1609966816.7633147,27685,-924.1770629882812
1609967085.8814678,31149,-951.7787475585938
1609967348.9003448,34367,-970.2713012695312
1609967677.267933,38367,-967.2320556640625
1609967973.1466343,42367,-968.1884765625
1609968217.6668155,46367,-981.2459716796875
1609968439.52,50367,-986.2723388671875
1609968654.0356486,54367,-989.6346435546875
1609968867.5649674,58367,-990.0267333984375
1609969083.5785818,62367,-998.2777709960938
1609969310.4293313,66367,-997.5471801757812
1609969555.7930694,70367,-1005.931640625
1609969720.2977967,72950,-1002.2037353515625
1609969897.8685446,75700,-1007.050048828125
1609970132.9368758,79349,-1035.8363037109375
1609970392.194277,83349,-1056.8897705078125
1609970653.5123572,87349,-1063.84521484375
1609970914.8744621,91349,-1056.307373046875
1609971175.8844993,95349,-1051.777099609375
1609971408.7462618,98899,-1062.2158203125
1609971611.129892,101983,-1074.92236328125
1609971871.9893425,105983,-1052.8057861328125
1609972135.0944238,109983,-1083.759033203125
1609972399.3741968,113983,-1112.6336669921875
1609972662.8839426,117983,-1119.489501953125
1609972926.1291757,121983,-1103.690673828125
1609973191.735969,125983,-1103.626220703125
1609973456.9544566,129983,-1099.1796875
1609973720.5218313,133983,-1105.1904296875
1609973961.6932507,137619,-1105.386962890625
1609974219.9569538,141512,-1100.3565673828125
1609974486.057782,145512,-1122.7891845703125
1609974752.0070112,149512,-1141.389892578125
1609975016.7178988,153512,-1140.6971435546875
1609975236.9170547,156834,-1132.4110107421875
1609975485.4888918,160589,-1132.7576904296875
1609975749.8495965,164589,-1132.2298583984375
1609976015.871952,168589,-1146.527099609375
1609976281.3240461,172589,-1147.125244140625
1609976542.9053776,176589,-1144.8671875
1609976803.0807242,180589,-1136.021240234375
1609977064.728757,184589,-1136.729248046875
1609977325.7047791,188589,-1139.2701416015625
1609977586.8818483,192589,-1136.494140625
1609977848.9530673,196589,-1140.19189453125
1609978111.2300882,200589,-1152.5396728515625
1609978309.8820875,203603,-1137.1279296875
1609978570.7593772,207603,-1124.014892578125
