Wall time,Step,Value
1611254876.9408977,4000,-458.4392395019531
1611255440.50851,8000,-528.1033325195312
1611255889.6811335,12000,-551.76171875
1611256422.3654318,16000,-555.8648071289062
1611256930.9929676,20000,-549.03369140625
1611257408.221799,24000,-515.9782104492188
1611257845.5486526,28000,-440.52679443359375
1611258284.3983903,32000,-408.9637756347656
1611258735.4004617,36000,-319.9947509765625
1611259167.4665017,40000,-262.6510925292969
1611259611.3476815,44000,-279.4654846191406
1611260046.642864,48000,-274.9399108886719
1611260496.9789894,52000,-245.3223419189453
1611260915.2068474,56000,-195.04664611816406
1611261359.8551438,60000,-177.97720336914062
1611261823.5133467,64000,-191.10153198242188
1611262286.6959221,68000,-208.5352020263672
1611262753.183142,72000,-228.85789489746094
1611263243.6435506,76000,-245.6947479248047
1611263747.9730794,80000,-261.2171936035156
1611264260.8754318,84000,-277.4617004394531
1611264782.7153664,88000,-291.1173095703125
1611265333.9274783,92000,-303.8303527832031
1611265861.437259,96000,-309.87921142578125
1611266376.4947674,100000,-317.63751220703125
1611266892.6025004,104000,-317.1363525390625
1611267421.0836172,108000,-316.53973388671875
1611267992.3313758,112000,-311.24444580078125
1611268543.699714,116000,-309.1903991699219
1611269087.4317877,120000,-310.77142333984375
1611269632.2054796,124000,-318.94439697265625
1611270176.3102973,128000,-343.1086120605469
1611270730.3215883,132000,-360.8006896972656
1611271265.4219065,136000,-397.1661071777344
1611271810.033983,140000,-428.23382568359375
1611272355.689883,144000,-442.4881591796875
1611272924.1518672,148000,-463.9767761230469
1611273471.1360297,152000,-504.1925964355469
1611274035.8972995,156000,-554.6651000976562
1611274590.6610985,160000,-588.282958984375
1611275162.0954301,164000,-608.9132080078125
1611275727.537032,168000,-630.627197265625
1611276280.834055,172000,-654.9813842773438
1611276828.862783,176000,-663.3397827148438
1611277388.8886757,180000,-664.5372924804688
1611277961.3437526,184000,-663.6329956054688
1611278522.6277215,188000,-666.0945434570312
1611279090.0328436,192000,-663.4524536132812
1611279664.1732087,196000,-666.8126831054688
1611280229.3167703,200000,-676.0257568359375
1611280798.2251859,204000,-682.144775390625
1611281388.6903324,208000,-676.9682006835938
1611281980.2868636,212000,-677.5384521484375
1611282555.0557723,216000,-674.8184814453125
1611283126.4845707,220000,-674.4990234375
1611283694.295934,224000,-677.4033203125
1611284250.5749438,228000,-699.6486206054688
1611284841.0300748,232000,-703.1858520507812
1611285417.9492357,236000,-744.1784057617188
1611285991.6053486,240000,-794.7554321289062
1611286558.6018274,244000,-828.7149658203125
1611287137.6341577,248000,-840.7152709960938
1611287711.7916715,252000,-851.8789672851562
1611288278.5220873,256000,-836.1598510742188
1611288860.490998,260000,-831.9688110351562
1611289428.133096,264000,-824.1895141601562
1611290023.500349,268000,-804.0677490234375
1611290596.2764993,272000,-777.2754516601562
1611291151.5898385,276000,-771.9944458007812
1611291712.2315953,280000,-768.00537109375
1611292330.6298263,284000,-765.7299194335938
1611292939.3985498,288000,-762.6126708984375
1611293516.4157095,292000,-757.5220947265625
1611294099.361396,296000,-749.8206176757812
1611294683.1528637,300000,-735.7267456054688
1611295248.0350544,304000,-727.6096801757812
1611295822.589092,308000,-716.823486328125
1611296400.0788164,312000,-715.8336181640625
1611296981.2557437,316000,-724.136962890625
1611297553.8181696,320000,-730.0277709960938
1611298141.1661236,324000,-715.5559692382812
1611298721.4603868,328000,-686.911376953125
1611299301.5720818,332000,-678.5519409179688
1611299857.8342886,336000,-637.71435546875
1611300420.1430767,340000,-598.1783447265625
1611300978.8661463,344000,-555.5948486328125
1611301565.9282355,348000,-533.8732299804688
1611302122.4803984,352000,-511.3810119628906
