Wall time,Step,Value
1611689277.4632401,2212,-96.0265121459961
1611689314.3382742,2384,-109.36451721191406
1611689405.8270679,2796,-109.8679428100586
1611689489.220576,3216,-107.28511810302734
1611689768.6236794,4446,-104.28531646728516
1611689976.377595,5408,-107.29754638671875
1611690064.0617383,5832,-108.78244018554688
1611690127.3937511,6086,-108.54479217529297
1611690209.9128337,6383,-107.58370208740234
1611690391.1882262,7086,-109.57981872558594
1611690543.6952233,7662,-109.71146392822266
1611690853.4152007,8908,-110.17530059814453
1611691192.5605578,10545,-103.23371124267578
1611691447.781385,11727,-99.86266326904297
1611691649.074454,12531,-98.66209411621094
1611691969.8791904,13801,-95.02852630615234
1611692074.0082476,14212,-94.8060531616211
1611692143.0338771,14501,-95.29800415039062
1611692222.5874689,14857,-95.74745178222656
1611692350.2590942,15430,-96.25333404541016
1611692587.0265186,16493,-93.99272918701172
1611693180.849088,19126,-84.47576141357422
1611694019.6348958,22763,-68.98934936523438
1611694815.4066572,26096,-53.277313232421875
1611695632.5903795,29641,-38.92006301879883
1611696276.689658,32376,-26.971004486083984
1611697070.578476,35819,-9.85112476348877
1611697885.9963434,39182,6.834770202636719
1611698721.523335,42691,22.88595199584961
1611699603.8503191,46203,38.72139358520508
1611700512.9874167,49809,55.65515899658203
1611701202.798739,52637,59.24909973144531
1611701674.2837167,54554,58.29352951049805
1611702269.0947833,56953,55.49850845336914
1611702780.7754993,59118,53.77662658691406
1611703299.1093314,61191,51.536376953125
1611703882.5993247,63622,52.04281234741211
1611704103.970001,64468,48.96626281738281
1611704723.089078,66937,49.8253173828125
1611705365.4333122,69393,52.064117431640625
1611706188.994814,72525,51.844017028808594
1611706553.483975,73845,51.594078063964844
1611707638.7312572,77845,57.5539436340332
1611708332.818155,80456,60.22364044189453
1611708494.115335,81064,60.704654693603516
1611708828.7836773,82313,59.02212905883789
1611709443.7703943,84409,50.50921630859375
1611710288.4367526,87616,35.01689147949219
1611710737.6186152,89280,17.778276443481445
1611711245.6208222,91146,0.23266160488128662
1611711486.1553612,92045,-13.30019760131836
1611712496.0166001,95728,-30.063276290893555
1611713058.9124987,97803,-46.794830322265625
1611714131.077534,101803,-61.678340911865234
1611715065.2053068,105179,-77.55964660644531
1611715974.1459086,108465,-93.2178955078125
1611716606.4960659,110857,-96.90496826171875
1611717241.488187,113133,-95.72119903564453
1611717895.4638474,115470,-93.14493560791016
1611718033.8188152,115978,-91.31900024414062
1611718192.0340455,116533,-89.99571990966797
1611718845.7868683,118825,-89.85680389404297
1611719084.9684505,119697,-90.87618255615234
1611719232.721524,120233,-94.39678192138672
1611719478.0403998,121107,-98.4797134399414
1611719836.8682923,122402,-102.16822814941406
1611720208.353568,123705,-103.59322357177734
1611720511.6313193,124808,-110.1546630859375
1611721138.6489868,127018,-114.21269226074219
1611721267.8415415,127475,-115.3478775024414
1611721796.2915156,129339,-116.99413299560547
1611722148.2986383,130550,-117.49842071533203
1611722216.318378,130773,-117.4520034790039
1611722254.1449618,130915,-116.87952423095703
1611722312.3072865,131113,-116.05532836914062
1611722367.2840788,131306,-115.13861846923828
1611722433.444423,131534,-115.20559692382812
1611722491.0913806,131733,-115.23187255859375
1611722551.1311526,131953,-117.0000228881836
1611722624.1627357,132183,-117.86470794677734
1611722686.5365884,132414,-118.83333587646484
1611722732.3841245,132573,-118.43318939208984
1611722781.7016335,132740,-118.82533264160156
1611722886.996546,133105,-119.3349609375
1611722959.2692876,133365,-118.93608856201172
1611723012.1473439,133547,-118.01392364501953
1611723113.673584,133893,-118.68467712402344
1611723504.527489,135286,-118.12237548828125
1611723550.4834728,135448,-117.60493469238281
1611723880.6867213,136628,-117.02387237548828
1611723922.2266474,136774,-115.83780670166016
1611723971.766348,136938,-114.90788269042969
1611724014.4471357,137085,-114.50952911376953
1611724065.7733817,137272,-113.45700073242188
1611724108.3091946,137412,-112.91270446777344
1611724147.6541772,137547,-111.95907592773438
1611724188.2432225,137686,-111.89600372314453
1611724226.7990923,137821,-111.6618423461914
1611724264.4443727,137957,-111.65359497070312
1611724301.025982,138091,-111.48841094970703
1611724539.7734,138937,-111.8875732421875
1611724592.4960635,139110,-111.70745849609375
1611724631.762188,139254,-111.539306640625
1611724679.558815,139422,-111.4366455078125
1611724871.1041298,140127,-112.0060806274414
1611724929.0963514,140307,-111.8974380493164
1611724973.3780942,140471,-111.91728210449219
1611725018.5683293,140631,-111.88812255859375
1611725064.1466215,140783,-111.5588150024414
1611725110.9674368,140945,-111.4205551147461
1611725151.5156443,141088,-111.33391571044922
1611725189.1996562,141224,-111.00569152832031
1611725231.37121,141372,-111.07843780517578
1611725281.156669,141545,-111.12185668945312
1611725342.4900846,141767,-111.1539306640625
1611725413.1402855,142006,-111.38516998291016
1611725457.5364273,142156,-111.37693786621094
1611725499.591497,142300,-111.39766693115234
1611725542.3901346,142449,-111.2982177734375
1611725589.2310379,142598,-111.33771514892578
1611725630.99017,142745,-111.36681365966797
1611725675.861901,142900,-111.39637756347656
1611725727.2577808,143082,-111.46380615234375
1611725775.2579417,143249,-111.55747985839844
1611725823.1970372,143389,-111.57550811767578
1611725868.7136636,143560,-111.11665344238281
1611725913.046523,143718,-111.08470916748047
1611725951.0164533,143858,-111.07360076904297
1611725989.7680924,143997,-110.92184448242188
1611726027.5046234,144138,-110.08299255371094
1611726076.6970885,144310,-110.01871490478516
1611726136.3050191,144505,-110.10301971435547
1611726192.701429,144703,-110.15594482421875
1611726245.3740342,144881,-110.15718078613281
1611726318.0471606,145139,-110.42941284179688
1611726418.0767741,145484,-110.78330993652344
1611726457.5112965,145622,-110.78824615478516
1611726503.511002,145762,-110.71076965332031
1611726542.2831209,145897,-110.60096740722656
1611726609.2872024,146151,-110.34922790527344
1611726712.357138,146501,-110.30369567871094
1611726838.014262,146911,-110.64068603515625
1611727185.1575434,148145,-111.68553924560547
1611727254.7163298,148383,-111.82506561279297
1611727699.4289122,149915,-111.9896240234375
1611727832.1295729,150377,-112.30313110351562
1611727898.683897,150590,-112.47740936279297
1611727936.4903638,150723,-112.37867736816406
1611727977.2066405,150861,-112.27677154541016
1611728017.4235823,150994,-112.24612426757812
1611728070.1184847,151180,-112.23970794677734
1611728128.3295288,151379,-112.25110626220703
1611728179.8947978,151557,-112.38274383544922
1611728236.1737823,151753,-112.5342788696289
1611728278.9014618,151892,-112.56471252441406
1611728320.4246595,152035,-112.51237487792969
1611728362.1836646,152184,-112.39545440673828
1611728400.8752499,152316,-112.26020050048828
1611728438.87137,152451,-112.228515625
1611728493.6361814,152652,-112.11557006835938
1611728595.426567,152989,-111.93319702148438
1611728747.396189,153518,-112.26834106445312
1611728862.549844,153923,-112.74778747558594
1611728929.7254667,154153,-113.01100158691406
1611728971.812291,154302,-113.0660171508789
1611729007.441718,154434,-112.8839111328125
1611729049.0781395,154566,-112.51256561279297
1611729087.754695,154698,-111.44635772705078
1611729125.5955448,154830,-111.27391815185547
1611729165.3659167,154962,-111.08143615722656
1611729211.6046205,155131,-110.82476043701172
1611729261.2517853,155311,-110.72675323486328
1611729339.5193336,155582,-110.95146942138672
1611729469.2690165,156037,-111.18338775634766
1611730062.6920419,158038,-112.24632263183594
1611730422.214208,159243,-112.26427459716797
1611730564.9075382,159741,-112.695068359375
1611730655.3397517,160047,-112.67561340332031
1611730704.7738616,160218,-112.6203384399414
1611730779.487263,160488,-112.78304290771484
1611731147.8185687,161772,-112.8768081665039
1611731769.1429968,163865,-114.20442199707031
1611732228.2588654,165431,-114.8917007446289
1611732648.1206517,166840,-116.29791259765625
1611732930.1264453,167773,-116.65780639648438
1611732972.6287425,167903,-116.46434783935547
1611733017.8421793,168036,-116.13479614257812
1611733059.9616904,168167,-115.65802001953125
1611733103.3297174,168299,-115.39567565917969
1611733143.9043765,168432,-115.346923828125
1611733241.0814989,168756,-115.56529998779297
1611733437.9344528,169402,-116.20226287841797
1611733514.4593236,169656,-116.37652587890625
1611733615.7521834,169970,-116.60364532470703
1611733700.7097244,170242,-116.74190521240234
1611733748.731386,170398,-116.7042007446289
1611733788.4069402,170529,-116.58541107177734
1611733830.1701076,170664,-116.3730239868164
1611733874.7097557,170797,-116.13811492919922
1611733914.6356714,170926,-115.09342193603516
1611734029.100532,171298,-115.02816772460938
1611734157.3377209,171710,-115.05625915527344
1611734344.6117713,172324,-115.3280029296875
1611734454.1439118,172675,-115.54715728759766
1611734664.6047523,173355,-115.77290344238281
1611734792.4730573,173768,-115.91814422607422
1611734831.693683,173901,-114.5140151977539
1611734872.8150952,174035,-113.82584381103516
1611734912.6421509,174170,-112.38706970214844
1611734958.9220004,174311,-111.74598693847656
1611735063.000223,174636,-112.0169448852539
1611735306.083156,175446,-112.85531616210938
1611735426.8882701,175847,-113.22917175292969
1611735516.898409,176148,-113.40161895751953
1611735688.41719,176692,-113.77839660644531
1611735858.9691794,177210,-113.95551300048828
1611735920.0177536,177408,-113.45519256591797
1611735960.057952,177541,-113.25821685791016
1611736008.774405,177679,-113.0093002319336
1611736058.395204,177817,-112.85429382324219
1611736279.757754,178557,-113.49606323242188
1611736577.399796,179522,-114.38943481445312
1611736740.606882,180076,-115.01658630371094
1611736813.403171,180313,-115.21015167236328
1611736926.5782688,180703,-115.62580871582031
1611737022.0716732,181026,-115.80744171142578
1611737088.9174252,181239,-115.45081329345703
1611737237.3717973,181727,-115.81025695800781
1611737305.8406703,181934,-115.64234161376953
1611737361.0804675,182131,-115.32328033447266
1611737473.009502,182489,-115.52159118652344
1611737841.975071,183665,-116.689453125
1611738039.2777348,184323,-117.5048828125
1611738338.7061172,185270,-118.59883117675781
1611738519.8010492,185873,-119.30875396728516
1611738605.4463713,186136,-119.32415008544922
1611738941.4679213,187219,-119.74844360351562
1611739213.5124974,188132,-120.4332046508789
1611739954.1691413,190585,-119.75347900390625
1611740597.3557103,192682,-118.77544403076172
1611741526.3844,195746,-117.78853607177734
1611742742.7380686,199746,-115.93335723876953
1611743945.3672364,203746,-114.20590209960938
1611745128.6521163,207746,-112.5518798828125
1611746012.712657,210798,-111.7052001953125
1611747197.4896543,214798,-109.49532318115234
