Wall time,Step,Value
1611935132.311348,42,19.412569046020508
1611935134.528167,98,19.84270668029785
1611935137.2795599,169,23.356531143188477
1611935139.838955,235,24.945833206176758
1611935142.704831,309,26.051593780517578
1611935145.1947572,375,26.552165985107422
1611935147.796609,442,27.04933738708496
1611935150.194334,507,27.363618850708008
1611935152.862964,577,27.728410720825195
1611935155.772081,647,27.988000869750977
1611935158.413014,714,28.159778594970703
1611935160.8758662,778,28.28569793701172
1611935163.5373728,846,28.424779891967773
1611935166.005887,912,28.52980613708496
1611935168.569858,979,28.62335205078125
1611935177.84546,1078,27.99063491821289
1611935201.232262,1292,27.444244384765625
1611935224.9493551,1503,27.662935256958008
1611935243.445794,1681,27.969053268432617
1611935268.372632,1923,27.810646057128906
1611935293.025783,2144,29.411460876464844
1611935373.11998,2859,35.70698928833008
1611935506.517478,4090,47.34825897216797
1611935547.151117,4425,50.542057037353516
1611935584.583443,4716,52.29000473022461
1611935647.4944808,5251,61.15629196166992
1611935825.219887,6777,89.37894439697266
1611935928.979796,7792,107.48129272460938
1611936056.789773,8791,127.16321563720703
1611936120.387085,9260,134.149658203125
1611936349.435571,11209,159.2903594970703
1611936409.799694,11743,164.2159423828125
1611936513.722806,12629,181.26820373535156
1611936596.08115,13315,193.43556213378906
1611936720.2355561,14480,218.64202880859375
1611936825.24994,15413,237.4483642578125
1611936932.057618,16349,257.04052734375
1611937136.8992388,18364,302.6557312011719
1611937274.2878091,19737,333.7301940917969
1611937372.543463,20796,356.61175537109375
1611937539.349579,22636,398.8380126953125
1611937605.438389,23339,412.7480773925781
1611937720.3987288,24511,437.729248046875
1611937860.202335,25942,469.7882385253906
1611938029.71167,27575,506.8453674316406
1611938197.193985,29234,544.187744140625
1611938543.983679,32829,626.0031127929688
1611938664.972645,34432,652.7295532226562
1611938798.466421,36168,689.7073364257812
1611938996.331875,38211,735.92822265625
1611939376.5593479,42165,825.0208129882812
1611939715.6745741,45583,880.1607666015625
1611940054.570498,48877,940.59716796875
1611940426.429013,52877,1016.9313354492188
1611940844.3278542,56766,1101.8779296875
1611945830.456308,59274,1136.4833984375
1611946418.229771,63274,1227.3985595703125
1611947620.3997078,67274,1307.1680908203125
1611947976.646546,70340,1359.27099609375
1611948377.026059,73726,1415.2403564453125
1611948775.0884311,77057,1474.0443115234375
1611949261.421551,81057,1549.7734375
1611949668.136118,84352,1582.661376953125
1611950058.8421881,87464,1626.0589599609375
1611950566.293111,91464,1697.2608642578125
1611951089.175781,95464,1749.6640625
1611951496.738247,98953,1820.59716796875
1611951888.2487922,102708,1886.8775634765625
1611952237.601652,106086,1935.9730224609375
1611952688.5767438,109767,1989.2266845703125
1611953151.352421,113314,2036.834716796875
1611953686.102232,117314,2046.7620849609375
1611954138.425504,120633,2089.005126953125
1611954556.781145,123881,2127.18310546875
1611954955.300715,127022,2154.406494140625
1611955277.878887,129566,2117.12451171875
1611955683.0718458,132789,2111.37060546875
1611956186.496716,136789,2129.889892578125
1611956687.843617,140789,2131.809814453125
1611957144.718734,144425,2127.828125
1611957646.543209,148425,2164.185302734375
1611958149.608649,152425,2165.36669921875
1611958608.969982,156076,2156.3935546875
1611959121.818502,160076,2188.2705078125
1611959472.3291469,162857,2174.50048828125
1611959944.137844,166569,2187.674072265625
1611960375.103323,169991,2175.24853515625
1611960833.7742689,173632,2183.6259765625
1611961337.042402,177632,2205.15869140625
1611961841.118656,181632,2206.7216796875
1611962311.6962,185367,2201.644287109375
1611962825.349011,189367,2212.9482421875
1611963402.272019,193367,2216.26171875
1611963904.4008489,197367,2227.367431640625
1611964406.831257,201367,2231.02392578125
1611964868.838224,205040,2231.954833984375
1611965373.792309,209040,2230.3515625
1611965877.2551591,213040,2244.849365234375
1611966381.135303,217040,2260.649658203125
1611966884.5901709,221040,2279.822998046875
1611967374.994247,224925,2312.889404296875
1611967881.3613179,228925,2331.0400390625
1611968385.7996008,232925,2329.14306640625
1611968891.3004951,236925,2326.25
1611969396.390207,240925,2333.196044921875
1611969902.5976162,244925,2331.167724609375
1611970321.692353,248246,2313.37841796875
1611970827.895073,252246,2319.78466796875
1611971333.019475,256246,2318.436279296875
1611971838.706832,260246,2345.3701171875
1611972344.111881,264246,2349.95361328125
1611972850.906591,268246,2360.259521484375
1611973356.065162,272246,2366.031005859375
1611973863.044497,276246,2362.757080078125
1611974421.074399,279895,2352.4677734375
1611974928.0642,283895,2356.802001953125
1611975425.2349,287812,2351.32177734375
1611975933.090315,291812,2349.2177734375
1611976442.319703,295812,2349.760009765625
1611976682.090562,297703,2297.443359375
1611977190.586308,301703,2304.888671875
1611977699.053706,305703,2303.59814453125
1611978208.338614,309703,2304.47314453125
1611978716.88181,313703,2304.65185546875
1611979225.559032,317703,2303.8056640625
1611979734.740337,321703,2304.314453125
1611980245.817079,325703,2304.12744140625
1611980755.527937,329703,2305.77734375
1611981267.296622,333703,2306.305419921875
1611981719.909239,337237,2295.885009765625
1611982230.439788,341237,2296.430419921875
1611982741.852555,345237,2313.09521484375
1611983253.860611,349237,2314.553466796875
1611983764.979747,353237,2314.297607421875
1611984273.632016,357237,2313.851318359375
1611984785.220441,361237,2312.958984375
1611985359.87554,365237,2315.048828125
1611985870.872022,369237,2318.5009765625
1611986383.785064,373237,2322.193359375
1611986896.368212,377237,2332.22607421875
1611987323.247045,380560,2317.3212890625
1611987852.090067,384560,2325.34423828125
1611988419.286727,388560,2329.606689453125
1611988897.3060422,392049,2320.593994140625
1611989403.767461,396049,2375.475830078125
1612007847.417509,400049,2377.26318359375
1612010457.518452,404049,2379.897216796875
1612012057.953706,408049,2380.056640625
1612024631.878253,412049,2381.9228515625
1612025109.4177752,415439,2369.022216796875
1612025718.47206,419439,2370.685302734375
1612026255.369837,423439,2368.363037109375
1612026749.694487,427439,2364.935302734375
1612027301.233723,431439,2363.660400390625
1612027835.495743,435439,2371.89111328125
1612028451.231574,439439,2372.419921875
1612029173.418035,443439,2371.410400390625
1612029887.673176,447439,2367.58447265625
1612030583.742752,451439,2364.236083984375
1612031317.932576,455439,2364.341552734375
1612032048.9444501,459439,2364.358642578125
1612032797.0955288,463439,2364.906982421875
1612033535.131191,467439,2365.122802734375
1612034302.640982,471439,2364.342529296875
1612034903.946531,475439,2364.541015625
1612035307.771551,479439,2380.096923828125
1612035710.036267,483439,2378.80859375
1612036140.921706,487439,2379.3017578125
1612036636.603937,491439,2392.057861328125
1612037171.6926012,495439,2392.078369140625
1612037725.127011,499439,2392.437255859375
1612038272.498369,503439,2392.63623046875
1612038749.9614458,507439,2394.899658203125
1612039122.566981,510467,2371.096923828125
1612039578.656704,514467,2386.30810546875
1612040016.696314,518467,2385.3603515625
1612040417.413352,522126,2380.274169921875
1612040815.05002,526126,2383.947021484375
1612041206.7052002,530126,2385.97607421875
1612041642.7507331,534126,2389.576416015625
1612042054.43446,538126,2391.40283203125
1612042458.939378,542126,2394.11328125
1612042861.897214,546126,2398.837646484375
1612043278.905117,550126,2404.935302734375
1612043659.843168,553901,2402.262939453125
1612044063.571258,557901,2403.853759765625
1612044475.3903208,561901,2405.545166015625
1612044887.8265338,565901,2405.938720703125
1612045393.963435,569901,2406.343017578125
1612045830.437095,573901,2408.10009765625
1612046303.292129,577901,2410.304443359375
1612046716.190208,581901,2408.37109375
1612047043.192249,585901,2406.71728515625
1612047373.616933,589901,2405.7265625
1612047686.7308428,593738,2401.70947265625
1612047752.271837,594535,2321.100341796875
1612047857.142899,595806,2250.479248046875
1612048057.865536,598213,2208.5986328125
1612048326.669424,601411,2213.453125
1612048670.50933,605411,2210.36767578125
1612049016.2058308,609411,2207.580810546875
1612049240.167267,611996,2177.642578125
1612049587.0413811,615996,2175.542236328125
1612049870.23958,619254,2157.235107421875
1612050072.7745001,621596,2117.085205078125
1612050199.3724642,623053,2055.3212890625
1612050481.574739,626304,2030.70068359375
1612050827.8939571,630304,2026.5762939453125
1612051173.284555,634304,2026.5736083984375
1612051518.517011,638304,2031.857177734375
1612051732.512733,640769,1994.0740966796875
1612051892.119307,642622,1938.404296875
1612052112.233102,645178,1897.69482421875
1612052380.136232,648280,1873.6903076171875
1612052725.307432,652280,1874.4669189453125
1612053071.355263,656280,1876.1484375
1612053416.878678,660280,1879.3280029296875
1612053762.691071,664280,1881.75732421875
1612054109.710689,668280,1883.5628662109375
1612054416.756408,671830,1877.9293212890625
1612054735.231364,675515,1951.65869140625
1612055081.148938,679515,2022.3382568359375
1612055294.57514,681976,2025.07958984375
1612055596.456246,685475,2032.1578369140625
1612055854.367674,688446,2010.8052978515625
1612056123.503563,691554,1992.4256591796875
1612056318.054197,693808,1987.478515625
1612056451.899471,695346,1926.072998046875
1612056622.654597,697315,1895.3538818359375
1612056937.401962,700962,1928.42919921875
1612057128.838102,703174,1940.4580078125
1612057455.419189,706215,1932.5618896484375
1612057778.276034,709269,1912.197265625
1612058122.716047,713269,1911.48388671875
1612058375.25573,716192,1885.174560546875
1612058720.5681028,720192,1924.625244140625
1612059064.853939,724192,1980.4354248046875
1612059327.0450912,727243,1997.94580078125
1612059671.682086,731243,2024.6859130859375
1612059944.4230552,734403,2003.548095703125
1612060290.062989,738403,2004.124267578125
1612060635.6062741,742403,2005.2537841796875
1612060981.690499,746403,2005.461181640625
1612061326.67056,750403,2005.4410400390625
1612061672.465487,754403,2016.9302978515625
1612062021.938148,758403,2026.3104248046875
1612062374.914454,762403,2027.8038330078125
1612062728.648791,766403,2067.297607421875
1612062994.966798,769411,2053.511962890625
1612063348.590355,773387,2077.777587890625
1612063703.5034182,777387,2101.972412109375
1612063999.7298229,780735,2131.161865234375
1612064340.7996218,784581,2192.021484375
1612064633.194137,787888,2225.974609375
1612064987.977781,791888,2235.14404296875
1612065342.084357,795888,2283.640380859375
1612065591.1655629,798700,2284.60009765625
1612065943.626399,802700,2310.792236328125
1612066296.775093,806700,2312.749755859375
1612066541.631916,809478,2309.47216796875
1612066895.3015292,813478,2308.370849609375
1612067197.1051571,816887,2292.20947265625
1612067511.330595,820435,2302.813232421875
1612067780.94129,823451,2275.117919921875
1612068243.4121149,827451,2294.340576171875
1612068705.074281,831451,2292.919189453125
1612069059.260736,835451,2291.229736328125
1612069364.16837,838900,2278.016357421875
1612069717.630134,842900,2279.026123046875
1612070069.84639,846900,2274.807373046875
1612070423.797966,850900,2271.799072265625
1612070725.115081,854315,2255.377197265625
1612070935.7508109,856691,2211.58740234375
1612071199.06371,859671,2210.10302734375
1612071502.558849,863088,2194.887451171875
1612071856.337555,867088,2193.923583984375
1612072211.904532,871088,2210.10693359375
1612072564.5537438,875088,2213.15966796875
1612072920.135811,879088,2226.14013671875
1612073274.236979,883088,2220.4140625
1612073541.692297,886124,2196.974365234375
1612073896.5925372,890124,2226.8466796875
1612074250.986652,894124,2224.58642578125
1612074397.882334,895780,2163.0947265625
1612074752.602918,899780,2193.509521484375
1612075108.7720802,903780,2190.7734375
1612075342.400466,906429,2170.203125
1612075695.7351522,910429,2182.27099609375
1612076048.215399,914429,2206.979248046875
1612076401.309133,918429,2206.05810546875
1612076753.886956,922429,2205.45166015625
1612077107.1278028,926429,2203.153564453125
1612077459.935519,930429,2213.044189453125
1612077536.237949,931278,2132.1171875
1612077689.3332648,933011,2076.82421875
1612078042.812188,937011,2075.1708984375
1612078397.271442,941011,2090.032958984375
1612078752.411523,945011,2131.551025390625
1612079109.284829,949011,2158.647705078125
1612079463.38972,953011,2173.466552734375
1612079925.382422,957011,2172.517333984375
1612080229.752782,960161,2148.5380859375
1612080568.7119381,964161,2146.5751953125
1612080894.4528909,968161,2147.384521484375
1612081256.099823,972161,2150.575439453125
1612081636.28017,975585,2160.0537109375
1612081952.954411,978273,2125.13818359375
1612082120.3512352,979932,2064.888916015625
1612082194.558526,980757,2044.27783203125
1612082541.320897,983932,2020.435791015625
1612082894.4826088,987932,2021.9991455078125
1612083251.3918688,991932,2054.96337890625
1612083603.85468,995932,2052.639404296875
1612084016.8931048,999932,2049.10888671875
